sentence,tokens,labels
"Although Hero TV markets itself as an `` anime channel '' , some of the aired programs here were non-anime .","['Although' 'Hero' 'TV' 'markets' 'itself' 'as' 'an' '``' 'anime'
 'channel' ""''"" ',' 'some' 'of' 'the' 'aired' 'programs' 'here' 'were'
 'non-anime' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
since 1989 .,['since' '1989' '.'],[0 0 0]
"During my trek to Porong Ri, I witnessed a breathtaking sunrise that illuminated the snow-capped peaks and left me with an indelible memory of the mountain's serene beauty.","['During' 'my' 'trek' 'to' 'Porong' 'Ri' ',' 'I' 'witnessed' 'a'
 'breathtaking' 'sunrise' 'that' 'illuminated' 'the' 'snow' '-' 'capped'
 'peaks' 'and' 'left' 'me' 'with' 'an' 'indelible' 'memory' 'of' 'the'
 'mountain' ""'"" 's' 'serene' 'beauty' '.']",[0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Due to his results on the local scene – including winning the U.M.C .,"['Due' 'to' 'his' 'results' 'on' 'the' 'local' 'scene' '–' 'including'
 'winning' 'the' 'U.M.C' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Dolores Heights is a hilly neighborhood named after the eponymous hill within the neighborhood .,"['Dolores' 'Heights' 'is' 'a' 'hilly' 'neighborhood' 'named' 'after' 'the'
 'eponymous' 'hill' 'within' 'the' 'neighborhood' '.']",[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Made it back home to GA It sucks not to be at Disney world , but its good to be home Time to start planning the next Disney World trip","['Made' 'it' 'back' 'home' 'to' 'GA' 'It' 'sucks' 'not' 'to' 'be' 'at'
 'Disney' 'world' ',' 'but' 'its' 'good' 'to' 'be' 'home' 'Time' 'to'
 'start' 'planning' 'the' 'next' 'Disney' 'World' 'trip']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
The Kofel is a mountain in the Bavarian Alps of Germany .,"['The' 'Kofel' 'is' 'a' 'mountain' 'in' 'the' 'Bavarian' 'Alps' 'of'
 'Germany' '.']",[0 1 0 0 0 0 0 1 2 0 0 0]
"Lim was successful in his debut , winning via KO in the second round .","['Lim' 'was' 'successful' 'in' 'his' 'debut' ',' 'winning' 'via' 'KO' 'in'
 'the' 'second' 'round' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Adrianus Johannes `` Arie '' Zwart ( 30 August 1903 , Rijswijk - 27 August 1981 , Laren ) was a Dutch painter and in his early work one of the last painters of the Hague School .","['Adrianus' 'Johannes' '``' 'Arie' ""''"" 'Zwart' '(' '30' 'August' '1903'
 ',' 'Rijswijk' '-' '27' 'August' '1981' ',' 'Laren' ')' 'was' 'a' 'Dutch'
 'painter' 'and' 'in' 'his' 'early' 'work' 'one' 'of' 'the' 'last'
 'painters' 'of' 'the' 'Hague' 'School' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
EvCC historically names its buildings after peaks of the Cascade and Olympic mountains .,"['EvCC' 'historically' 'names' 'its' 'buildings' 'after' 'peaks' 'of'
 'the' 'Cascade' 'and' 'Olympic' 'mountains' '.']",[0 0 0 0 0 0 0 0 0 1 0 1 2 0]
"Variant names of the Cumberland Mountains include Cumberland Mountain , Cumberland Range , Ouasioto Mountains , Ouasiota Mountains , Laurel Mountain , and Pine Mountain .","['Variant' 'names' 'of' 'the' 'Cumberland' 'Mountains' 'include'
 'Cumberland' 'Mountain' ',' 'Cumberland' 'Range' ',' 'Ouasioto'
 'Mountains' ',' 'Ouasiota' 'Mountains' ',' 'Laurel' 'Mountain' ',' 'and'
 'Pine' 'Mountain' '.']",[0 0 0 1 2 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 0 1 2 0]
Stewart and Somerville were again present for ITV 's 1997 coverage of the John Major - Tony Blair election – aptly titled `` Election 97 `` – with Jonathan Dimbleby as the anchor .,"['Stewart' 'and' 'Somerville' 'were' 'again' 'present' 'for' 'ITV' ""'s""
 '1997' 'coverage' 'of' 'the' 'John' 'Major' '-' 'Tony' 'Blair' 'election'
 '–' 'aptly' 'titled' '``' 'Election' '97' '``' '–' 'with' 'Jonathan'
 'Dimbleby' 'as' 'the' 'anchor' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"My trek to Nanda Devi was an unforgettable experience, with breathtaking views of the snow-capped peaks and serene valleys below.","['My' 'trek' 'to' 'Nanda' 'Devi' 'was' 'an' 'unforgettable' 'experience'
 ',' 'with' 'breathtaking' 'views' 'of' 'the' 'snow' '-' 'capped' 'peaks'
 'and' 'serene' 'valleys' 'below' '.']",[0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"PM Imran Khan expressed condolences for the lives lost , directed the authorities to ensure the best medical treatment for the injured , and ordered an increase in security for Shiites and Hazara people .","['PM' 'Imran' 'Khan' 'expressed' 'condolences' 'for' 'the' 'lives' 'lost'
 ',' 'directed' 'the' 'authorities' 'to' 'ensure' 'the' 'best' 'medical'
 'treatment' 'for' 'the' 'injured' ',' 'and' 'ordered' 'an' 'increase'
 'in' 'security' 'for' 'Shiites' 'and' 'Hazara' 'people' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
The attendance of the Emperor and Empress at the ceremony was regarded as a rare honour .,"['The' 'attendance' 'of' 'the' 'Emperor' 'and' 'Empress' 'at' 'the'
 'ceremony' 'was' 'regarded' 'as' 'a' 'rare' 'honour' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
His family attended many major winter sports events due to his father 's occupation as a ski instructor and consequently Crépel was present at the birth of snowboarding in France and the Pyrenees .,"['His' 'family' 'attended' 'many' 'major' 'winter' 'sports' 'events' 'due'
 'to' 'his' 'father' ""'s"" 'occupation' 'as' 'a' 'ski' 'instructor' 'and'
 'consequently' 'Crépel' 'was' 'present' 'at' 'the' 'birth' 'of'
 'snowboarding' 'in' 'France' 'and' 'the' 'Pyrenees' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
"J. P. Small Memorial Stadium is a baseball park in Jacksonville , Florida .","['J.' 'P.' 'Small' 'Memorial' 'Stadium' 'is' 'a' 'baseball' 'park' 'in'
 'Jacksonville' ',' 'Florida' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
The 2009 NBL season was the 28th season of the National Basketball League .,"['The' '2009' 'NBL' 'season' 'was' 'the' '28th' 'season' 'of' 'the'
 'National' 'Basketball' 'League' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The Turkish Lake District or Turkish Lakeland is an area with a series of shallow tectonic lakes within the folds of the Taurus Mountains in Southwestern Anatolia , Turkey","['The' 'Turkish' 'Lake' 'District' 'or' 'Turkish' 'Lakeland' 'is' 'an'
 'area' 'with' 'a' 'series' 'of' 'shallow' 'tectonic' 'lakes' 'within'
 'the' 'folds' 'of' 'the' 'Taurus' 'Mountains' 'in' 'Southwestern'
 'Anatolia' ',' 'Turkey']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0]
The DEPCO consortium also updated Ramsgate train depot for the IKF with facilities including storage sidings for the Class 395 trains and light maintenance facilities .,"['The' 'DEPCO' 'consortium' 'also' 'updated' 'Ramsgate' 'train' 'depot'
 'for' 'the' 'IKF' 'with' 'facilities' 'including' 'storage' 'sidings'
 'for' 'the' 'Class' '395' 'trains' 'and' 'light' 'maintenance'
 'facilities' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
The Blackstone River Theatre at 549 Broad Street hosts a wide variety of cultural events mostly in the form of intimate concerts encompassing the prevailing traditional cultures of the people who settled the Blackstone Valley .,"['The' 'Blackstone' 'River' 'Theatre' 'at' '549' 'Broad' 'Street' 'hosts'
 'a' 'wide' 'variety' 'of' 'cultural' 'events' 'mostly' 'in' 'the' 'form'
 'of' 'intimate' 'concerts' 'encompassing' 'the' 'prevailing'
 'traditional' 'cultures' 'of' 'the' 'people' 'who' 'settled' 'the'
 'Blackstone' 'Valley' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
"The Continental Divide lies to the west , Angle Peak is situated to the southeast , and The Ramparts are to the north .","['The' 'Continental' 'Divide' 'lies' 'to' 'the' 'west' ',' 'Angle' 'Peak'
 'is' 'situated' 'to' 'the' 'southeast' ',' 'and' 'The' 'Ramparts' 'are'
 'to' 'the' 'north' '.']",[0 1 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0]
"A memorial was held at the El Rey Theatre shortly after his death , and a small gathering of family and friends scattered his ashes at Runyon Canyon Park in the Hollywood Hills .","['A' 'memorial' 'was' 'held' 'at' 'the' 'El' 'Rey' 'Theatre' 'shortly'
 'after' 'his' 'death' ',' 'and' 'a' 'small' 'gathering' 'of' 'family'
 'and' 'friends' 'scattered' 'his' 'ashes' 'at' 'Runyon' 'Canyon' 'Park'
 'in' 'the' 'Hollywood' 'Hills' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
"After months of planning, our team of experienced mountaineers finally embarked on the challenging expedition to conquer the majestic Pauhunri, a lesser-known gem in the Himalayan range.","['After' 'months' 'of' 'planning' ',' 'our' 'team' 'of' 'experienced'
 'mountaineers' 'finally' 'embarked' 'on' 'the' 'challenging' 'expedition'
 'to' 'conquer' 'the' 'majestic' 'Pauhunri' ',' 'a' 'lesser' '-' 'known'
 'gem' 'in' 'the' 'Himalayan' 'range' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
"John spent much of his time in his Westerwald residence of Montabaur , where he died in 1556 .","['John' 'spent' 'much' 'of' 'his' 'time' 'in' 'his' 'Westerwald'
 'residence' 'of' 'Montabaur' ',' 'where' 'he' 'died' 'in' '1556' '.']",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
"Aiguille de Péclet ( 3,561 m ) is a mountain of Savoie , France .","['Aiguille' 'de' 'Péclet' '(' '3,561' 'm' ')' 'is' 'a' 'mountain' 'of'
 'Savoie' ',' 'France' '.']",[1 2 2 0 0 0 0 0 0 0 0 0 0 0 0]
Web apps and pieces of content developed through Conduit 's platform can be distributed and exchanged online via the Conduit App Marketplace .,"['Web' 'apps' 'and' 'pieces' 'of' 'content' 'developed' 'through'
 'Conduit' ""'s"" 'platform' 'can' 'be' 'distributed' 'and' 'exchanged'
 'online' 'via' 'the' 'Conduit' 'App' 'Marketplace' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The remains of these volcanoes are still visible , one example of which is Rhobell Fawr dating from 510 Ma .","['The' 'remains' 'of' 'these' 'volcanoes' 'are' 'still' 'visible' ','
 'one' 'example' 'of' 'which' 'is' 'Rhobell' 'Fawr' 'dating' 'from' '510'
 'Ma' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0]
"Mount Corneliussen ( ) is a mountain , high , standing north of Mount Globus at the west end of the Allardyce Range of South Georgia .","['Mount' 'Corneliussen' '(' ')' 'is' 'a' 'mountain' ',' 'high' ','
 'standing' 'north' 'of' 'Mount' 'Globus' 'at' 'the' 'west' 'end' 'of'
 'the' 'Allardyce' 'Range' 'of' 'South' 'Georgia' '.']",[1 2 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 2 2 2 2 0]
inspired yet again to write cant wait to share my testimony cant wait for the day when im taken underwater brought back up BORN AGAIN,"['inspired' 'yet' 'again' 'to' 'write' 'cant' 'wait' 'to' 'share' 'my'
 'testimony' 'cant' 'wait' 'for' 'the' 'day' 'when' 'im' 'taken'
 'underwater' 'brought' 'back' 'up' 'BORN' 'AGAIN']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Oscar s new favorite pass time is running as fast as he can from one end of the house to another yelling BuhBYYYYYE,"['Oscar' 's' 'new' 'favorite' 'pass' 'time' 'is' 'running' 'as' 'fast'
 'as' 'he' 'can' 'from' 'one' 'end' 'of' 'the' 'house' 'to' 'another'
 'yelling' 'BuhBYYYYYE']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
The St. Lucie Inlet is one of six inlets into the Indian River Lagoon .,"['The' 'St.' 'Lucie' 'Inlet' 'is' 'one' 'of' 'six' 'inlets' 'into' 'the'
 'Indian' 'River' 'Lagoon' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"As a child actor , Roe made guest appearances on shows such as Disney Channel 's `` Jessie `` , Fox Television 's `` Saint George `` and Nickelodeon 's `` Sam & amp ; Cat `` and `` Bella and the Bulldogs `` .","['As' 'a' 'child' 'actor' ',' 'Roe' 'made' 'guest' 'appearances' 'on'
 'shows' 'such' 'as' 'Disney' 'Channel' ""'s"" '``' 'Jessie' '``' ',' 'Fox'
 'Television' ""'s"" '``' 'Saint' 'George' '``' 'and' 'Nickelodeon' ""'s""
 '``' 'Sam' '&' 'amp' ';' 'Cat' '``' 'and' '``' 'Bella' 'and' 'the'
 'Bulldogs' '``' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
"Geologists are fascinated by the unique rock formations found on Sia Kangri, which provide valuable insights into the tectonic history of the region.","['Geologists' 'are' 'fascinated' 'by' 'the' 'unique' 'rock' 'formations'
 'found' 'on' 'Sia' 'Kangri' ',' 'which' 'provide' 'valuable' 'insights'
 'into' 'the' 'tectonic' 'history' 'of' 'the' 'region' '.']",[0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Sherif , who was from Kavala in the Ottoman Empire ( now in northern Greece ) , filled numerous administrative posts under Sa'id Pasha and Isma'il Pasha .","['Sherif' ',' 'who' 'was' 'from' 'Kavala' 'in' 'the' 'Ottoman' 'Empire'
 '(' 'now' 'in' 'northern' 'Greece' ')' ',' 'filled' 'numerous'
 'administrative' 'posts' 'under' ""Sa'id"" 'Pasha' 'and' ""Isma'il"" 'Pasha'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"They inhabited the region from the Russell River and Cooper 's point , north of Innisfail , westwards to Millaa Millaa and the Misty Mountains , and south as far as North Maria Creek .","['They' 'inhabited' 'the' 'region' 'from' 'the' 'Russell' 'River' 'and'
 'Cooper' ""'s"" 'point' ',' 'north' 'of' 'Innisfail' ',' 'westwards' 'to'
 'Millaa' 'Millaa' 'and' 'the' 'Misty' 'Mountains' ',' 'and' 'south' 'as'
 'far' 'as' 'North' 'Maria' 'Creek' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0]
"Both Europe and Japan saw increases in space workforces ; the European industry workforce showed very modest growth in 2011 ; in Japan , the overall workforce grew by 7.5 percent , while employment at the Japan Aerospace Exploration Agency ( JAXA ) , Japan 's government space agency , dropped .","['Both' 'Europe' 'and' 'Japan' 'saw' 'increases' 'in' 'space' 'workforces'
 ';' 'the' 'European' 'industry' 'workforce' 'showed' 'very' 'modest'
 'growth' 'in' '2011' ';' 'in' 'Japan' ',' 'the' 'overall' 'workforce'
 'grew' 'by' '7.5' 'percent' ',' 'while' 'employment' 'at' 'the' 'Japan'
 'Aerospace' 'Exploration' 'Agency' '(' 'JAXA' ')' ',' 'Japan' ""'s""
 'government' 'space' 'agency' ',' 'dropped' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"In 2000 , he moved to the University of Essex .","['In' '2000' ',' 'he' 'moved' 'to' 'the' 'University' 'of' 'Essex' '.']",[0 0 0 0 0 0 0 0 0 0 0]
SEGS I and II were located at and owned by Cogentrix Energy ( Carlyle Group ) .,"['SEGS' 'I' 'and' 'II' 'were' 'located' 'at' 'and' 'owned' 'by'
 'Cogentrix' 'Energy' '(' 'Carlyle' 'Group' ')' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"On the other hand , Mantai 's younger brother , the second beile Bujantai was captured at Mount Gele .","['On' 'the' 'other' 'hand' ',' 'Mantai' ""'s"" 'younger' 'brother' ',' 'the'
 'second' 'beile' 'Bujantai' 'was' 'captured' 'at' 'Mount' 'Gele' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
